dimensions/height,dimensions/width,display_url,edge_liked_by/count,edge_media_preview_like/count,edge_media_to_caption/edges/0/node/text,edge_media_to_comment/count,id,is_video,location/address_json,location/has_public_page,location/id,location/name,location/slug,owner/id,shortcode,tags/0,taken_at_timestamp,thumbnail_resources/0/config_height,thumbnail_resources/0/config_width,thumbnail_resources/0/src,thumbnail_resources/1/config_height,thumbnail_resources/1/config_width,thumbnail_resources/1/src,thumbnail_resources/2/config_height,thumbnail_resources/2/config_width,thumbnail_resources/2/src,thumbnail_resources/3/config_height,thumbnail_resources/3/config_width,thumbnail_resources/3/src,thumbnail_resources/4/config_height,thumbnail_resources/4/config_width,thumbnail_resources/4/src,thumbnail_src,urls/0,video_view_count,location,tags/1,tags/2,comments_disabled,tags/3,tags/4,tags/5,tags/6,tags/7,tags/8,urls/1,urls/2,urls/3,urls/4,urls/5,urls/6,urls/7,urls/8,urls/9,tags/9,tags/10,tags/11,tags/12,tags/13,tags/14,tags/15,tags/16,tags/17,tags/18,tags/19,tags/20,tags/21,tags/22
937,750,https://instagram.fplu4-1.fna.fbcdn.net/vp/ce4699544c8a11544f3d98ea31d13be6/5BF5AF18/t51.2885-15/e15/44358835_703436360036274_7038658748048769546_n.jpg,42,42,Two Suns In The Sunset #rogerwatersbh,3,1895740844254727693,true,"{""street_address"": ""Avenida Ant\u00f4nio Abrah\u00e3o Caram, 1001, S\u00e3o Jos\u00e9"", ""zip_code"": ""31275-000"", ""city_name"": ""Belo Horizonte, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,234399063,Estádio Mineirão,estadio-mineirao,212688534,BpPBkD4AI4N,rogerwatersbh,1540210027,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/78de98a77c0cc47fd50e23e0ff931887/5BF55071/t51.2885-15/e15/c0.90.720.720a/s150x150/44358835_703436360036274_7038658748048769546_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/a92604eaa0506763c7e308964512277a/5BF5CF3B/t51.2885-15/e15/c0.90.720.720a/s240x240/44358835_703436360036274_7038658748048769546_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/3ef91afb3c0b73f2494358b262e9b533/5BF5AA01/t51.2885-15/e15/c0.90.720.720a/s320x320/44358835_703436360036274_7038658748048769546_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/21192d052efd119fba0dd906f4fc7238/5BF59E5B/t51.2885-15/e15/c0.90.720.720a/s480x480/44358835_703436360036274_7038658748048769546_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/cba5c8bd67a4e463e3c46913019940f3/5BF55DAE/t51.2885-15/e15/c0.90.720.720a/s640x640/44358835_703436360036274_7038658748048769546_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/cba5c8bd67a4e463e3c46913019940f3/5BF55DAE/t51.2885-15/e15/c0.90.720.720a/s640x640/44358835_703436360036274_7038658748048769546_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/27e428e92ec09b7f23b3448742529c61/5BF584D2/t50.2886-16/44214326_185718802364512_4708857067929075712_n.mp4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/a8f204729d3d604b29396199c1772349/5C7BA820/t51.2885-15/e35/43628349_2200131636978111_7007188778507982524_n.jpg,35,35,#rogerwaters #rogerwatersbh,0,1895754792178752274,false,,,,,,144710669,BpPEvB5DxsS,rogerwaters,1540211603,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/cf397186b6b1394be460b55466527735/5CB032B3/t51.2885-15/e35/c158.0.763.763a/s150x150/43628349_2200131636978111_7007188778507982524_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/5f9461816ed6d41312e9eb6bbbb32d96/5C7066B5/t51.2885-15/e35/c158.0.763.763a/s240x240/43628349_2200131636978111_7007188778507982524_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/f55f95f05d18fde4434f46acbf658a8c/5CB03ACB/t51.2885-15/e35/c158.0.763.763a/s320x320/43628349_2200131636978111_7007188778507982524_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/1c588919442688303872bff231ef81ff/5C70A48C/t51.2885-15/e35/c158.0.763.763a/s480x480/43628349_2200131636978111_7007188778507982524_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/e60e180166c2aafafecfb7c4b2c59d7f/5C7C45F4/t51.2885-15/sh0.08/e35/c158.0.763.763a/s640x640/43628349_2200131636978111_7007188778507982524_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/e60e180166c2aafafecfb7c4b2c59d7f/5C7C45F4/t51.2885-15/sh0.08/e35/c158.0.763.763a/s640x640/43628349_2200131636978111_7007188778507982524_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/a8f204729d3d604b29396199c1772349/5C7BA820/t51.2885-15/e35/43628349_2200131636978111_7007188778507982524_n.jpg,,,rogerwatersbh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/746c8d6e6c9b16e1070bd39db2a3b66c/5C6FEBC9/t51.2885-15/e35/42802348_938382099665451_2829691229309005409_n.jpg,139,139,"How I wish...
#rogerwatersbh #aovivo",15,1895315047153390060,false,"{""street_address"": ""Avenida Ant\u00f4nio Abrah\u00e3o Caram, 1001"", ""zip_code"": ""31275-000"", ""city_name"": ""Belo Horizonte, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,71505039,TOCA DA Raposa III,toca-da-raposa-iii,1343060391,BpNgv5bB9Hs,aovivo,1540159181,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/c772a68c796639e550bd67c83133dd2a/5C8CE360/t51.2885-15/e35/c0.39.1080.1080/s150x150/42802348_938382099665451_2829691229309005409_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/5f4e433c1460cba2bff249cc591b9974/5C8C5D2A/t51.2885-15/e35/c0.39.1080.1080/s240x240/42802348_938382099665451_2829691229309005409_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/2e40a529ab2e704f3d2b7e2fbb621080/5C73D190/t51.2885-15/e35/c0.39.1080.1080/s320x320/42802348_938382099665451_2829691229309005409_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/5a89ecdb2763515273117bc43c8d1c7f/5C9113CA/t51.2885-15/e35/c0.39.1080.1080/s480x480/42802348_938382099665451_2829691229309005409_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/05689996665fe25ddb1263b8efc51852/5C8FD008/t51.2885-15/sh0.08/e35/c0.39.1080.1080/s640x640/42802348_938382099665451_2829691229309005409_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/05689996665fe25ddb1263b8efc51852/5C8FD008/t51.2885-15/sh0.08/e35/c0.39.1080.1080/s640x640/42802348_938382099665451_2829691229309005409_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/746c8d6e6c9b16e1070bd39db2a3b66c/5C6FEBC9/t51.2885-15/e35/42802348_938382099665451_2829691229309005409_n.jpg,,,rogerwatersbh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,750,https://instagram.fplu4-1.fna.fbcdn.net/vp/d95a648cf40b0a0a67983ed191239e6f/5BF5966C/t51.2885-15/e15/43338678_2152276271769939_2665476806842651474_n.jpg,33,33,#rogerwatersbh 21 de outubro,0,1895530680817901435,true,"{""street_address"": ""Avenida Ant\u00f4nio Abrah\u00e3o Caram, 1001, S\u00e3o Jos\u00e9"", ""zip_code"": ""31275-000"", ""city_name"": ""Belo Horizonte, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,234399063,Estádio Mineirão,estadio-mineirao,212688534,BpORxx7AV97,rogerwatersbh,1540184928,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/7d19913e263842eb6597d507e911ae78/5BF5DC47/t51.2885-15/e15/s150x150/43338678_2152276271769939_2665476806842651474_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/f8ad4f69dd97ea2f4f5bb92b2bc5fb88/5BF5E181/t51.2885-15/e15/s240x240/43338678_2152276271769939_2665476806842651474_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/8d8b38ccb9ee1b3ea400ebc6cede75ee/5BF54CFF/t51.2885-15/e15/s320x320/43338678_2152276271769939_2665476806842651474_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/5191423716b2ba969989d21e73cc2321/5BF584B8/t51.2885-15/e15/s480x480/43338678_2152276271769939_2665476806842651474_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/e4b9026b78db7e411ba6bb73d350f44c/5BF58484/t51.2885-15/e15/s640x640/43338678_2152276271769939_2665476806842651474_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/e4b9026b78db7e411ba6bb73d350f44c/5BF58484/t51.2885-15/e15/s640x640/43338678_2152276271769939_2665476806842651474_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/ded4b9fd4cbcf3975769cba2cfed3a26/5BF55BEB/t50.2886-16/44330375_1232863543532975_6777998377851289600_n.mp4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,750,https://instagram.fplu4-1.fna.fbcdn.net/vp/ab252e2017e7c46bf369dd1d651c6d45/5BF57E7B/t51.2885-15/e15/43656644_272451063379618_7555139658383048492_n.jpg,16,16,#rogerwatersbh,0,1894934121117972632,true,,,,,,212688534,BpMKIsaAPiY,rogerwatersbh,1540113797,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/16286be73a2ade069cefdca2d8c333b4/5BF57B5A/t51.2885-15/e15/s150x150/43656644_272451063379618_7555139658383048492_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/8189caeaecfd92b371845344429450c5/5BF5DE50/t51.2885-15/e15/s240x240/43656644_272451063379618_7555139658383048492_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/a2c822695f4669caa46abc595251c8ba/5BF5A0AA/t51.2885-15/e15/s320x320/43656644_272451063379618_7555139658383048492_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/6f9bcb20baa718067328209523418126/5BF55B30/t51.2885-15/e15/s480x480/43656644_272451063379618_7555139658383048492_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/9c4c7dd23542b7cd0eb7c82b19f9e94a/5BF57705/t51.2885-15/e15/s640x640/43656644_272451063379618_7555139658383048492_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/9c4c7dd23542b7cd0eb7c82b19f9e94a/5BF57705/t51.2885-15/e15/s640x640/43656644_272451063379618_7555139658383048492_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/d918a75d7bb1f8f95e5a467dff91be02/5BF5C9C2/t50.2886-16/44108208_2005746416186764_3604572842428989440_n.mp4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/7dcc9ec6f611db591f868e42f52e8ec8/5C82E2D3/t51.2885-15/e35/43984404_253941355280762_1342087514189430930_n.jpg,137,137,Daqui a pouco.. #rogerwatersbh,3,1895197024750335581,false,"{""street_address"": """", ""zip_code"": """", ""city_name"": ""Nova Lima, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": true, ""exact_region_match"": false, ""exact_country_match"": false}",true,228043125,"Nova Lima, Brazil",nova-lima-brazil,4473069066,BpNF6cfnvZd,rogerwatersbh,1540145112,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/795735e7055b299c49abc0a17cfa4713/5C7C5E8B/t51.2885-15/e35/c0.135.1080.1080/s150x150/43984404_253941355280762_1342087514189430930_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/3ff43da7ce4a1c0f17b3238837829d91/5C8CA6C1/t51.2885-15/e35/c0.135.1080.1080/s240x240/43984404_253941355280762_1342087514189430930_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/a8b7250743a1a5877c555b792b81ea32/5C7DC57B/t51.2885-15/e35/c0.135.1080.1080/s320x320/43984404_253941355280762_1342087514189430930_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/a5ec375063a507d18758297aa070347d/5C90D621/t51.2885-15/e35/c0.135.1080.1080/s480x480/43984404_253941355280762_1342087514189430930_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/e7ed6ca0c8383da5e09624263cec6435/5CB10D90/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/43984404_253941355280762_1342087514189430930_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/e7ed6ca0c8383da5e09624263cec6435/5CB10D90/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/43984404_253941355280762_1342087514189430930_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/7dcc9ec6f611db591f868e42f52e8ec8/5C82E2D3/t51.2885-15/e35/43984404_253941355280762_1342087514189430930_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,750,https://instagram.fplu4-1.fna.fbcdn.net/vp/68cd63254bb8417ccccc7d924154c4d0/5BF59559/t51.2885-15/e35/43778534_746554379018771_8596199680489504277_n.jpg,62,62,OMG! #rogerwaters #pinkfloyd #rogerwatersbh,3,1895491404232985941,true,"{""street_address"": ""Avenida Ant\u00f4nio Abrah\u00e3o Caram, 1001, S\u00e3o Jos\u00e9"", ""zip_code"": ""31275-000"", ""city_name"": ""Belo Horizonte, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,234399063,Estádio Mineirão,estadio-mineirao,258369169,BpOI2OwHQ1V,rogerwaters,1540180322,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/7d648e0840dfa71d523b02a7e9d91b71/5BF5CC9B/t51.2885-15/e35/s150x150/43778534_746554379018771_8596199680489504277_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/6319000c43ad54b6cc6f12ca2fbcdcc7/5BF56751/t51.2885-15/e35/s240x240/43778534_746554379018771_8596199680489504277_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/c218ef75cbc7a2b137b27790b718a5cb/5BF569AB/t51.2885-15/e35/s320x320/43778534_746554379018771_8596199680489504277_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/b7186f2078d99d2880fb206d4dad66ac/5BF54C71/t51.2885-15/e35/s480x480/43778534_746554379018771_8596199680489504277_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/0265a98ff9421e7a5fa3433ce407c4e6/5BF5E6FC/t51.2885-15/sh0.08/e35/s640x640/43778534_746554379018771_8596199680489504277_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/0265a98ff9421e7a5fa3433ce407c4e6/5BF5E6FC/t51.2885-15/sh0.08/e35/s640x640/43778534_746554379018771_8596199680489504277_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/9c9a192d02612e5d03e894118f937932/5BF5C730/t50.2886-16/44472107_1835207126607738_3624136066274951168_n.mp4,0,,pinkfloyd,rogerwatersbh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,750,https://instagram.fplu4-1.fna.fbcdn.net/vp/a880b79877c67bf723e12c085cee7dac/5BF5D75E/t51.2885-15/e15/43292768_437326443463152_5386472371013797340_n.jpg,45,45,#rogerwatersbh 21/10,4,1896833483054061619,true,"{""street_address"": ""Avenida Ant\u00f4nio Abrah\u00e3o Caram, 1001, S\u00e3o Jos\u00e9"", ""zip_code"": ""31275-000"", ""city_name"": ""Belo Horizonte, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,234399063,Estádio Mineirão,estadio-mineirao,212688534,BpS6ADDgRgz,rogerwatersbh,1540340298,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/5959a19ad9c01b07d84d0535dd0ca299/5BF59DDC/t51.2885-15/e15/c0.90.720.720/s150x150/43292768_437326443463152_5386472371013797340_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/04922572a9af0b93cb08cd4a5c04ff66/5BF59296/t51.2885-15/e15/c0.90.720.720/s240x240/43292768_437326443463152_5386472371013797340_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/25d143e56fd80817099c6f6ec8a296e7/5BF5C6AC/t51.2885-15/e15/c0.90.720.720/s320x320/43292768_437326443463152_5386472371013797340_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/fbb5c6207c17a3cb7a374597c33643cc/5BF58236/t51.2885-15/e15/c0.90.720.720/s480x480/43292768_437326443463152_5386472371013797340_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/75b1174effbdfa8ed717409429e86f16/5BF56AC3/t51.2885-15/e15/c0.90.720.720/s640x640/43292768_437326443463152_5386472371013797340_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/75b1174effbdfa8ed717409429e86f16/5BF56AC3/t51.2885-15/e15/c0.90.720.720/s640x640/43292768_437326443463152_5386472371013797340_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/8b455cd4b41a8ee50302558ad3af028f/5BF56F5A/t50.2886-16/44820725_2122631701094267_7214071166237933568_n.mp4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,750,https://instagram.fplu4-1.fna.fbcdn.net/vp/e4bb34d0088f45f53a9aa41868ebdebd/5BF5CF56/t51.2885-15/e15/43276477_283203282537876_504752315313778107_n.jpg,19,19,"Na página de lavanderia e a gente postando show de rock 🤘. Como assim ? É porque pensando aqui sobre o que me inspira, o que me move, o que eu gosto de escutar em momentos de reflexão, o que me traz de volta ao meu objetivo, o que me dá um “Gás “ a mais. E pensei o mesmo em vocês que passam por aqui. Vocês também devem ter dessas coisas. Eu imagino que todos tenham. Momentos de reflexão e que colocam uma boa música ou buscam algo bem seu só seu que te leva de volta ao seu foco o seu objetivo. E pensando nisso que começo a minha semana renovando as energias ( em Deus 🙏) e fazendo o que tanto gosto que é ficar com minha família e escutar um bom rock 🤘. E vocês ? Coloquem uma música legal que te inspira e te coloca no seu foco. Se você já faz isso 🙌🏻 legal demais. Se você não fez isso ainda 🤷‍♀️então faça. Aumente o som. Sinta algo muito especial em sua vida. Leveza pra semana. Foco no seus sonhos. E lembre-se Ninguém é perfeito. Errar faz parte. Recomeçar é saudável também. Ótima semana.",1,1915586357906754886,true,"{""street_address"": ""Rua Concei\u00e7\u00e3o Par\u00e1, 931"", ""zip_code"": ""31080-020"", ""city_name"": ""Belo Horizonte, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,1878237485736464,Lavanderia Classe A,lavanderia-classe-a,5458663135,BqVh6Svnc1G,,1542575766,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/fbb2e0ffdbfba2cd53c416714f6e237b/5BF5EE60/t51.2885-15/e15/s150x150/43276477_283203282537876_504752315313778107_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/f85fd6e3944c588c7e90da1eda89c632/5BF5BB15/t51.2885-15/e15/s240x240/43276477_283203282537876_504752315313778107_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/e0432b0711e359723f0d29d6aab7197c/5BF54E2D/t51.2885-15/e15/s320x320/43276477_283203282537876_504752315313778107_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/8766faf1f649113a7f6bcfeb8e663383/5BF590B1/t51.2885-15/e15/s480x480/43276477_283203282537876_504752315313778107_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/d99954e68b029c8f2c777a3bd0f97a68/5BF5E980/t51.2885-15/e15/s640x640/43276477_283203282537876_504752315313778107_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/d99954e68b029c8f2c777a3bd0f97a68/5BF5E980/t51.2885-15/e15/s640x640/43276477_283203282537876_504752315313778107_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/3fc946978e7934be2914cbc34859e491/5BF5676B/t50.2886-16/45451341_779320482412039_8024323159014506496_n.mp4,0,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/523191ed587a77ed5e7e00f9c320cf66/5C75843E/t51.2885-15/e35/44702323_250909795578993_855342363336245248_n.jpg,58,58,“And I don’t need no drugs to calm me” #RogerWaters #inesquecivel #rogerwatersbh,0,1912782644987682421,false,"{""street_address"": """", ""zip_code"": """", ""city_name"": ""Zagreb, Croatia"", ""region_name"": """", ""country_code"": ""HR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,192075750835976,Roger Waters..,roger-waters,260354572,BqLka5nBd51,RogerWaters,1542241481,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/6e79f9886f0952a8a24ce5e1a3aa61de/5CB04D61/t51.2885-15/e35/c236.0.607.607/s150x150/44702323_250909795578993_855342363336245248_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/7f19381618c687975451643a1c5883fb/5CB025D4/t51.2885-15/e35/c236.0.607.607/s240x240/44702323_250909795578993_855342363336245248_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/d0a457fbb8e7b58765440fa7d711a29d/5C76CB6C/t51.2885-15/e35/c236.0.607.607/s320x320/44702323_250909795578993_855342363336245248_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/22b908055797582e670bd96a7a4e4c78/5CACC830/t51.2885-15/e35/c236.0.607.607/s480x480/44702323_250909795578993_855342363336245248_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/8072a436d1462ec8f8c85fd4bea3adb8/5C81F00A/t51.2885-15/e35/c236.0.607.607/44702323_250909795578993_855342363336245248_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/8072a436d1462ec8f8c85fd4bea3adb8/5C81F00A/t51.2885-15/e35/c236.0.607.607/44702323_250909795578993_855342363336245248_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/523191ed587a77ed5e7e00f9c320cf66/5C75843E/t51.2885-15/e35/44702323_250909795578993_855342363336245248_n.jpg,,,inesquecivel,rogerwatersbh,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/fd22d6dea70f1465e8240d75d68f7247/5C6B7EF2/t51.2885-15/e35/43914393_127965871520344_8575993284359848002_n.jpg,65,65,"eu to na resist da tristeza que esse dia já tem duas semanas .
.
.
#rogerwaters #pinkfloyd #rogerwatersbh #rogerwatersbrasil #resist #sauronnao #usandthem #usandthemtour #bheofluxo",0,1905275595231836734,false,,,,,,253142013,Bpw5g8tA7o-,sauronnao,1541346571,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/3defdb0353e0bf94c3525bd96aa9beac/5C6E1BB0/t51.2885-15/e35/s150x150/43914393_127965871520344_8575993284359848002_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/cc6b157b23cf8b5e581724f1a2f1e84e/5C7960FA/t51.2885-15/e35/s240x240/43914393_127965871520344_8575993284359848002_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/c672cacabde49232ea85b26db6140553/5C8D3340/t51.2885-15/e35/s320x320/43914393_127965871520344_8575993284359848002_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/911c167229e3dcc8433070c0ed9db91e/5C8D8B1A/t51.2885-15/e35/s480x480/43914393_127965871520344_8575993284359848002_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/27f40da2b4f97a538c14a4d633815e49/5C7FB617/t51.2885-15/sh0.08/e35/s640x640/43914393_127965871520344_8575993284359848002_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/27f40da2b4f97a538c14a4d633815e49/5C7FB617/t51.2885-15/sh0.08/e35/s640x640/43914393_127965871520344_8575993284359848002_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/fd22d6dea70f1465e8240d75d68f7247/5C6B7EF2/t51.2885-15/e35/43914393_127965871520344_8575993284359848002_n.jpg,,,rogerwatersbh,bheofluxo,true,usandthem,rogerwaters,rogerwatersbrasil,resist,pinkfloyd,usandthemtour,https://instagram.fplu4-1.fna.fbcdn.net/vp/1ad8be32d7704594e625248d1e31fc3d/5C8E98E9/t51.2885-15/e35/44769794_131454384501342_6008316399499768312_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/080fa09decccc1f7a7d4f7210458ba0c/5C7C275E/t51.2885-15/e35/44000087_180844026182598_3245092501479875919_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/6958e9af4df3f37e8b9788531f9d4bea/5BF5B5D2/t50.2886-16/45200819_307234460005651_6157789881445287051_n.mp4,https://instagram.fplu4-1.fna.fbcdn.net/vp/9871438188532ea4595a752a8ea17e2a/5C6E0CE9/t51.2885-15/e35/43913781_360793831322409_230349246102437630_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/e7e6dffc7603098037455b14569a76b1/5C7B8FFA/t51.2885-15/e35/43732654_265399880828923_9019333281706828183_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/2c4ff5775e6e4a40c597aef9fa685f5a/5CADAEC4/t51.2885-15/e35/44322658_253929158618090_4323805400178475786_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/52b490fbfc7a1422dbaebd60ce78fb41/5C818B69/t51.2885-15/e35/45311554_2172221369467668_4459902445330109838_n.jpg,,,,,,,,,,,,,,,,
